Step 100; val-loss 1.1244; accuracy: 0; train-loss: 1.1226
Step 200; val-loss 1.0850; accuracy: 0; train-loss: 1.0881
Step 300; val-loss 1.0775; accuracy: 0; train-loss: 1.0787
Step 400; val-loss 1.0758; accuracy: 0; train-loss: 1.0719
Step 500; val-loss 0.9767; accuracy: 0; train-loss: 0.9666
Step 600; val-loss 0.8886; accuracy: 0; train-loss: 0.8777
Step 700; val-loss 0.8753; accuracy: 0; train-loss: 0.8838
Step 800; val-loss 0.8777; accuracy: 0; train-loss: 0.8811
Step 900; val-loss 0.8652; accuracy: 0; train-loss: 0.8578
Step 1000; val-loss 0.8741; accuracy: 0; train-loss: 0.8786
Step 1100; val-loss 0.8099; accuracy: 0; train-loss: 0.8087
Step 1200; val-loss 0.7906; accuracy: 0; train-loss: 0.7920
Step 1300; val-loss 0.7886; accuracy: 0; train-loss: 0.7968
Step 1400; val-loss 0.7900; accuracy: 0; train-loss: 0.7968
Step 1500; val-loss 0.7742; accuracy: 0; train-loss: 0.7700
Step 1600; val-loss 0.7538; accuracy: 0; train-loss: 0.7520
Step 1700; val-loss 0.7502; accuracy: 0; train-loss: 0.7559
Step 1800; val-loss 0.7535; accuracy: 0; train-loss: 0.7491
Step 1900; val-loss 0.7340; accuracy: 0; train-loss: 0.7370
Step 2000; val-loss 0.7292; accuracy: 0; train-loss: 0.7307
Step 2100; val-loss 0.7251; accuracy: 0; train-loss: 0.7268
Step 2200; val-loss 0.7503; accuracy: 0; train-loss: 0.7485
Step 2300; val-loss 0.7062; accuracy: 0; train-loss: 0.7086
Step 2400; val-loss 0.7054; accuracy: 0; train-loss: 0.7069
Step 2500; val-loss 0.7260; accuracy: 0; train-loss: 0.7312
Step 2600; val-loss 0.7303; accuracy: 0; train-loss: 0.7285
Step 2700; val-loss 0.6876; accuracy: 0; train-loss: 0.6855
Step 2800; val-loss 0.7005; accuracy: 0; train-loss: 0.6992
Step 2900; val-loss 0.7025; accuracy: 0; train-loss: 0.7056
Step 3000; val-loss 0.6813; accuracy: 0; train-loss: 0.6951
Step 3100; val-loss 0.6766; accuracy: 0; train-loss: 0.6717
Step 3200; val-loss 0.6717; accuracy: 0; train-loss: 0.6634
Step 3300; val-loss 0.6623; accuracy: 0; train-loss: 0.6479
Step 3400; val-loss 0.6624; accuracy: 0; train-loss: 0.6788
Step 3500; val-loss 0.6211; accuracy: 0; train-loss: 0.6256
Step 3600; val-loss 0.6328; accuracy: 0; train-loss: 0.6315
Step 3700; val-loss 0.5786; accuracy: 0; train-loss: 0.5761
Step 3800; val-loss 0.5718; accuracy: 0; train-loss: 0.5752
Step 3900; val-loss 0.6146; accuracy: 0; train-loss: 0.6314
Step 4000; val-loss 0.5411; accuracy: 1; train-loss: 0.5435
Step 4100; val-loss 0.5296; accuracy: 1; train-loss: 0.5078
Step 4200; val-loss 0.5334; accuracy: 0; train-loss: 0.5429
Step 4300; val-loss 0.5431; accuracy: 0; train-loss: 0.5518
Step 4400; val-loss 0.5303; accuracy: 0; train-loss: 0.5247
Step 4500; val-loss 0.5311; accuracy: 0; train-loss: 0.5223
Step 4600; val-loss 0.5176; accuracy: 0; train-loss: 0.5294
Step 4700; val-loss 0.5238; accuracy: 0; train-loss: 0.5123
Step 4800; val-loss 0.5312; accuracy: 0; train-loss: 0.5089
Step 4900; val-loss 0.5075; accuracy: 0; train-loss: 0.5350
Step 5000; val-loss 0.5045; accuracy: 0; train-loss: 0.5093
Step 5100; val-loss 0.5127; accuracy: 0; train-loss: 0.5053
Step 5200; val-loss 0.5033; accuracy: 0; train-loss: 0.5096
Step 5300; val-loss 0.5439; accuracy: 0; train-loss: 0.5472
Step 5400; val-loss 0.5081; accuracy: 0; train-loss: 0.4906
Step 5500; val-loss 0.5008; accuracy: 0; train-loss: 0.4925
Step 5600; val-loss 0.5112; accuracy: 0; train-loss: 0.5159
Step 5700; val-loss 0.4978; accuracy: 0; train-loss: 0.5099
Step 5800; val-loss 0.4969; accuracy: 0; train-loss: 0.5333
Step 5900; val-loss 0.4978; accuracy: 0; train-loss: 0.5011
Step 6000; val-loss 0.5069; accuracy: 0; train-loss: 0.5024
Step 6100; val-loss 0.4996; accuracy: 0; train-loss: 0.5062
Step 6200; val-loss 0.4923; accuracy: 1; train-loss: 0.4952
Step 6300; val-loss 0.5088; accuracy: 0; train-loss: 0.5202
Step 6400; val-loss 0.4928; accuracy: 0; train-loss: 0.4930
Step 6500; val-loss 0.4920; accuracy: 1; train-loss: 0.4618
Step 6600; val-loss 0.4890; accuracy: 0; train-loss: 0.4913
Step 6700; val-loss 0.4908; accuracy: 0; train-loss: 0.4858
Step 6800; val-loss 0.4935; accuracy: 0; train-loss: 0.4836
Step 6900; val-loss 0.4923; accuracy: 0; train-loss: 0.4832
